
33067, [21.61653092 21.05197599 20.51808476 19.59184276 19.56784427 19.40472965
 19.22304573 19.214928   19.15355406 19.1012819 ],0.052272158034025296,[10.76472573  2.07356678  2.06896536  2.06763258  2.06677956  2.06346082
  2.06574411  2.06673654  2.06922526  2.07023087],-0.0010056119854087164
33159, [21.06203514 20.49296117 20.4225545  20.22029178 20.19767399 20.03953523
 19.66062367 19.55590396 19.53128159 19.52209646],0.009185129371420686,[10.94481487  2.11665952  2.11271193  2.11044097  2.10732753  2.10536959
  2.10641055  2.10754665  2.10876921  2.11432907],-0.005559858403416662
32762, [20.76314394 19.67358451 19.65355886 19.64254007 19.62165136 19.37066873
 19.11110044 18.91794384 18.68045409 18.53401   ],0.1464440892647083,[10.71791864  2.07132169  2.06852743  2.06783925  2.06575491  2.06289035
  2.06378583  2.06681627  2.06988975  2.0730303 ],-0.003140544500743303
33166, [20.67605576 20.45502542 19.67725303 19.45945128 19.25248651 19.08443014
 19.03920988 19.00232037 18.94781887 18.79362621],0.1541926571442822,[10.88433378  2.09603463  2.09319535  2.09197226  2.08982757  2.08911369
  2.09031404  2.09252633  2.09369364  2.0947014 ],-0.0010077551634317672
32920, [20.89599363 19.85745505 19.68085411 19.23749085 19.17417113 19.13592496
 19.13539098 19.13074876 18.88815731 18.82865863],0.05949868476315956,[10.78952616  2.09098314  2.08747003  2.08290784  2.08196476  2.08225748
  2.0837873   2.08752795  2.08882282  2.09055297],-0.0017301452508631243
32820, [21.47883096 21.06474225 20.4736473  20.45880808 19.76509917 19.62431989
 19.54653821 19.44569779 19.40306051 19.20956494],0.1934955712104376,[10.8716684   2.09703818  2.09356581  2.08961265  2.08850017  2.08781176
  2.08856603  2.09154512  2.09249355  2.09606709],-0.003573538557291478
32682, [21.19330004 19.71236657 19.65861089 19.58908073 19.44021821 19.43668485
 19.39512737 19.37558499 19.36232543 19.34746884],0.014856587291681933,[10.8686874   2.11274633  2.10835002  2.10514781  2.10236182  2.10088294
  2.1046174   2.10777672  2.10837173  2.11117046],-0.0027987230694690446
33105, [20.27159295 19.96329573 19.92228502 19.38607869 19.02196144 19.01581558
 18.90643245 18.84269553 18.82935239 18.62529112],0.20406127158345555,[10.68319404  2.05955799  2.05804629  2.05419546  2.05054102  2.05235288
  2.05401044  2.05600476  2.06073241  2.06278469],-0.002052288427059068
32690, [20.76118706 20.75490271 20.67592878 20.51503741 20.19199585 19.93761789
 19.69308919 19.66592804 19.62226088 19.54169785],0.08056303151809274,[10.82591513  2.09521354  2.09367897  2.09069956  2.08758749  2.089115
  2.09095962  2.0926302   2.09491205  2.09744783],-0.0025357790201856467
33034, [19.88674425 19.7675547  19.39119994 19.2997881  19.18486534 18.80224117
 18.74077392 18.61560147 18.58889217 18.43228503],0.15660714116385321,[10.74585053  2.07250299  2.06691332  2.06449555  2.06284594  2.06023738
  2.06094436  2.06390124  2.0665186   2.06794493],-0.0014263305076349653
33270, [20.96943624 20.86570261 20.57998856 20.46032403 20.30422621 20.18673444
 20.05837734 19.68133997 19.64304971 19.62183284],0.02121686826216873,[11.00851691  2.11521078  2.10923215  2.10645748  2.10457922  2.10427858
  2.10463773  2.10700202  2.10958288  2.11153194],-0.0019490671712216745
32976, [20.6669978  20.53641388 19.99643732 19.90409245 19.38095701 19.05043854
 18.98409438 18.91772984 18.90639725 18.84759184],0.05880541122878924,[10.96057247  2.11015963  2.10652016  2.10542844  2.10319938  2.10343278
  2.10377538  2.10444182  2.10666536  2.10908025],-0.0024148851924006287
32799, [21.41063389 21.26176145 20.70068103 20.47845529 20.47399013 20.34881122
 19.86745935 19.66025701 19.62417058 19.49622101],0.12794956601951313,[10.74021328  2.06629619  2.06389468  2.06328648  2.06133479  2.06087451
  2.06427869  2.06587214  2.0668453   2.07054279],-0.0036974891699115275
32991, [20.15884253 20.13254332 19.86913525 19.24211189 19.10210504 18.97730886
 18.94848258 18.91810223 18.80979131 18.76718911],0.04260220294430184,[10.79130767  2.09558074  2.09254267  2.09027045  2.08817286  2.08795951
  2.08987683  2.09241526  2.09472079  2.09764637],-0.0029255723293610814
33018, [21.2441362  20.08219574 19.97229975 19.51297695 19.39394851 19.29430504
 19.21083782 19.1864482  19.17954573 19.09203847],0.08750726149797927,[10.7487244   2.06316726  2.06060735  2.05996054  2.05661166  2.0563678
  2.0580982   2.05970457  2.0613192   2.06276264],-0.001443443810936973
32848, [21.40315662 19.72085159 19.68346973 19.65455213 19.41943857 19.40789879
 19.2832345  19.11569044 19.06356823 19.05502809],0.008540140175707478,[11.00074795  2.11215416  2.11101976  2.10872074  2.10545318  2.10670804
  2.1106873   2.11113802  2.11335949  2.11434637],-0.000986877395463548
32984, [20.50057888 20.31653074 20.05637369 20.01569439 19.91628739 19.43065486
 19.38848019 19.19486237 19.14025061 18.9272509 ],0.2129997108649313,[10.87974298  2.09907021  2.09782993  2.09580679  2.09235119  2.09074924
  2.09303308  2.095464    2.09910692  2.10174481],-0.002637888881229067
32886, [21.01263835 20.79002446 20.52153943 20.05641134 19.99964923 19.57037116
 19.44980496 19.24144767 19.22518227 19.17006489],0.05511737673654338,[10.84486091  2.08503932  2.08335379  2.08221247  2.08082571  2.07942831
  2.07994221  2.08255155  2.08337923  2.08623303],-0.0028537927449070466
32794, [21.07189023 20.2091974  20.16517309 19.70990614 19.34988645 19.33760091
 19.17930476 19.17462004 19.16432486 19.06336264],0.10096222332624905,[10.83215364  2.09067827  2.08945017  2.08525828  2.08342231  2.08352818
  2.08411955  2.08694064  2.08995674  2.0933713 ],-0.003414555084483961
32990, [20.68541199 20.52015878 20.20684096 20.18279641 19.71746819 19.65676111
 19.63159773 19.54078731 19.21187548 19.08438602],0.12748945964293412,[10.96310031  2.11176019  2.10843006  2.10705174  2.10510764  2.10457146
  2.10584011  2.10777282  2.1100729   2.11061599],-0.0005430830412986865
33384, [20.09098054 19.72237012 19.59001388 19.54099929 19.53667033 19.4846367
 19.43673501 19.43592079 19.42671097 19.29658711],0.13012385822774064,[10.86354302  2.08695061  2.08549704  2.08453172  2.08260941  2.08226257
  2.0826673   2.08500815  2.08758424  2.09038198],-0.0027977413088708936
33020, [22.63623481 20.72313138 20.44570381 20.38539764 20.31440121 20.29238105
 20.22440855 19.89113    19.83636529 19.56711616],0.2692491244835473,[10.87910229  2.09446325  2.09250721  2.09068215  2.08848261  2.08927807
  2.09183356  2.09393844  2.09685911  2.09933811],-0.0024790018414262427
32802, [20.43882831 20.40108565 20.32290884 20.20063335 20.02401734 19.84566914
 19.70071617 19.6374895  19.48141338 19.42941344],0.05199994699369981,[10.71194548  2.06150186  2.05948101  2.0578034   2.05580784  2.05453754
  2.05516711  2.05620934  2.05772483  2.05855447],-0.0008296362985409367
33047, [21.9051282  19.88625499 19.15196232 18.86822849 18.81449799 18.705982
 18.5819112  18.49686962 18.43093422 18.39981078],0.03112344288045321,[10.72045586  2.06985997  2.06938951  2.06684418  2.06492851  2.06390462
  2.06490396  2.06746115  2.06903675  2.0722082 ],-0.003171453215187192
32806, [20.32850797 20.31466987 20.08891129 19.91379913 19.62134505 19.61790599
 19.56313104 19.53407368 19.04684092 18.99704904],0.049791883517794844,[10.87586177  2.09950904  2.09817503  2.09756019  2.09421404  2.0928342
  2.09342832  2.09545015  2.09590925  2.10152134],-0.005612081810416836
33053, [20.06322334 19.9319586  19.72273358 19.49956456 19.41586995 19.13093398
 18.78923242 18.76921988 18.64344385 18.6410806 ],0.002363255210656945,[10.89599987  2.09158014  2.08998834  2.08651734  2.08513248  2.08531442
  2.08781385  2.08918732  2.09153276  2.09351144],-0.0019786843425935174
