
32931, [21.75927897 20.37373831 19.68907861 19.61257918 19.49449447 19.47941056
 19.38940241 19.32393369 19.12576453 19.06528127],0.06048325604038851,[10.81971275  2.08713324  2.08311355  2.08071272  2.07996389  2.07887924
  2.08047344  2.08193168  2.0837788   2.08598136],-0.002202563522230694
32714, [22.52542029 21.49771666 20.2551682  19.6019033  19.58586709 19.55322183
 19.05151489 18.98311809 18.90116597 18.71405521],0.18711075913715192,[10.76151463  2.0710118   2.06936792  2.06894228  2.06613051  2.06572806
  2.06714022  2.06858873  2.07203584  2.07527448],-0.00323863866437879
32812, [20.32930403 20.30650703 20.29588726 19.80607174 19.71072492 19.31907029
 19.19902132 19.13161137 19.12958234 19.09574604],0.03383630031189,[10.90163716  2.10323753  2.09983258  2.09606943  2.09568419  2.09658236
  2.09734691  2.09959288  2.1005133   2.10552294],-0.00500963489142503
33000, [20.79399693 20.78982238 20.37921649 19.49798961 19.4305541  19.40595372
 18.96639627 18.86732336 18.8598092  18.79106253],0.0687466669687602,[10.70194208  2.0596766   2.0584311   2.05627832  2.05375399  2.05249109
  2.05595766  2.0574694   2.05862259  2.06128231],-0.0026597217179147314
32766, [20.55090545 19.92129074 19.66884789 19.43520903 19.41681066 19.15828687
 18.78423187 18.57748953 18.56684658 18.5659237 ],0.0009228842895900868,[10.67501398  2.06143847  2.05772021  2.05598265  2.05375386  2.05158673
  2.05336809  2.05480087  2.0572041   2.05799831],-0.000794218094606336
33120, [20.05327927 19.71334648 19.68113316 19.35114488 19.19173176 19.08931174
 18.96965506 18.92362047 18.7520718  18.7164513 ],0.03562049896950015,[10.81417873  2.0743012   2.06953228  2.06843339  2.06555484  2.0652516
  2.0662674   2.0677388   2.06974486  2.07368743],-0.003942571829113284
32813, [20.45135801 20.10814714 19.62350457 19.58717294 19.58163603 19.54793137
 19.1764059  19.15297369 18.96870809 18.65082332],0.31788477216053224,[10.69298475  2.05271871  2.05232856  2.04901267  2.04666569  2.04614681
  2.04733454  2.05037369  2.05150628  2.05606613],-0.004559848165245128
33115, [21.08804951 20.99817228 20.307226   19.97961774 19.83472246 19.76973672
 19.75342267 19.62294718 19.57837702 19.569463  ],0.00891402104844019,[10.932434    2.11102928  2.10670105  2.10541861  2.10189889  2.10140116
  2.10382897  2.10479261  2.108704    2.11011266],-0.0014086516576550245
33092, [19.89289828 19.65757869 19.61587444 19.46614066 19.4467279  19.07219941
 18.92063345 18.85084501 18.80844075 18.77603845],0.0324023059846148,[10.87914046  2.08841604  2.08557762  2.08319803  2.07997104  2.0800851
  2.08246317  2.08629296  2.08691727  2.08872788],-0.0018106040965979453
33113, [21.49545509 21.16935682 20.9318953  20.91073841 20.11577499 20.00176416
 19.89225191 19.40823377 19.3829799  19.28023761],0.10274229237332833,[10.80699883  2.07166989  2.06728319  2.06490981  2.062107    2.06275539
  2.0640891   2.06525171  2.06620923  2.06985806],-0.003648827778638175
32950, [21.08557922 20.81651469 20.36321017 20.25884232 20.15849775 19.87992247
 19.81946244 19.66410558 19.44101801 19.40302379],0.03799422632258853,[10.85323769  2.10839992  2.10055032  2.09928602  2.09630062  2.09509099
  2.09602751  2.0973289   2.09904118  2.10436413],-0.005322952478254983
32915, [21.0781667  20.16429818 19.63132283 19.34628117 19.30977649 19.27934233
 19.18566248 18.95271614 18.92854074 18.90367921],0.02486152980893408,[10.71567495  2.06576979  2.06053005  2.06000055  2.05818386  2.05654637
  2.05802475  2.05976607  2.0611555   2.06455042],-0.003394922960597402
32646, [22.15244402 21.077463   19.99560795 19.72855394 19.59622164 19.47338933
 19.40328429 19.3612398  19.29049112 19.28724444],0.0032466842327494305,[10.91884174  2.11449268  2.11206342  2.11058588  2.10983835  2.10919953
  2.10989008  2.11090698  2.11642385  2.11845473],-0.002030883111710846
32921, [21.98284417 20.07252115 19.99791487 19.95376948 19.53664709 19.2386113
 18.97226487 18.92540527 18.89136408 18.88224824],0.009115836886888218,[10.82670658  2.08023914  2.078543    2.07548357  2.07507764  2.07430064
  2.07619005  2.07683096  2.07696817  2.07942574],-0.002457575236637588
32928, [20.76853661 20.3902571  20.30795959 20.08543176 19.78988567 19.76845179
 19.60949373 19.33053725 19.25303085 19.20779104],0.0452398133427252,[10.86442044  2.10109363  2.09856504  2.09487019  2.09379717  2.0950705
  2.09595219  2.09811544  2.10183718  2.10564797],-0.0038107871891104317
33039, [21.83140359 20.12855317 19.784074   19.72715816 19.57527556 19.37229659
 19.29282203 19.16958085 18.95745035 18.94802843],0.00942191824440286,[10.75746675  2.07874734  2.07551893  2.07420769  2.07017251  2.07104973
  2.07175697  2.07351961  2.07529997  2.07847489],-0.0031749191970171786
32762, [20.57475568 20.34791277 20.18179269 20.11569427 19.87969979 19.40532172
 19.35807602 19.18037525 18.90302113 18.86868135],0.03433977990968273,[10.6924853   2.07215066  2.0668495   2.06397122  2.06187355  2.06304947
  2.06471135  2.06661786  2.06843889  2.07135189],-0.0029129981832483054
33286, [20.87054396 19.93669468 19.89683854 19.37104617 19.19445913 19.17170031
 19.1226559  19.05312958 19.03777025 18.98905836],0.04871189001199028,[10.79661103  2.0771095   2.07469267  2.07191722  2.07130663  2.07125802
  2.07299485  2.07420317  2.07475946  2.07907637],-0.004316911136424295
32717, [20.04710602 19.93721378 19.81331186 19.19504256 19.04035226 18.89676436
 18.76914009 18.68961887 18.61657586 18.61325331],0.0033225484632986024,[10.70419923  2.07533632  2.07366746  2.07259212  2.06989384  2.06835504
  2.06847566  2.07039399  2.07104383  2.0725841 ],-0.0015402673103763753
32902, [21.39860351 21.09967676 21.03820054 20.88697884 20.4481781  20.43551095
 20.16714189 20.0901354  19.79193898 19.74164099],0.05029799801439694,[10.97742919  2.12204883  2.12025601  2.11693026  2.11541325  2.11703352
  2.11870018  2.11978111  2.12066047  2.12322945],-0.0025689769036185695
32834, [20.80751    20.74852516 19.78479101 19.15349504 19.11829927 19.01298973
 18.83149242 18.67013427 18.53027315 18.47206772],0.05820542765144765,[10.78485861  2.08632791  2.08378509  2.07883982  2.07696946  2.07643894
  2.07762967  2.07838811  2.08149096  2.08394517],-0.0024542070906012903
32875, [21.14319522 19.98932466 19.45542124 19.40242258 19.35590192 19.19731838
 19.12118992 19.02108543 18.92403522 18.90253757],0.02149764610388516,[10.73704706  2.07059814  2.06841505  2.06474132  2.06435234  2.06291058
  2.06382536  2.06797637  2.07043641  2.07354489],-0.0031084747793443945
33252, [21.3384038  20.73239528 20.58345153 20.44841916 20.35701128 20.33061877
 20.00171262 19.89338174 19.89188482 19.87486131],0.01702351667982782,[10.92900982  2.10819899  2.1052122   2.10175828  2.10067799  2.09924904
  2.10009894  2.10050158  2.10248031  2.1068931 ],-0.004412792601983462
32880, [21.7788944  19.67131162 19.63578233 19.5671797  19.53782422 19.30154633
 19.13775873 19.06093761 18.84789135 18.7994429 ],0.048448443840445776,[10.81546887  2.07927564  2.07905343  2.07532559  2.07441088  2.07505491
  2.07571621  2.07727205  2.08021707  2.08493603],-0.0047189595421692765
33037, [21.07668059 20.18435384 20.08369316 19.66848265 19.65103787 19.63661812
 19.40567424 19.02402535 18.99145683 18.97440292],0.017053902669324827,[10.79176329  2.07489386  2.07449992  2.07283947  2.07080188  2.06986909
  2.06989883  2.07169213  2.07379567  2.07529631],-0.0015006420343000038
32449, [20.52581903 20.41746074 19.93355909 19.85737125 19.48366241 19.27058098
 19.22366895 19.13034833 19.1073127  19.01917873],0.08813397055645567,[10.94341627  2.11946522  2.11495025  2.112738    2.11076697  2.11058626
  2.11162448  2.11244976  2.11506984  2.1178662 ],-0.0027963642703432434
32921, [21.52096828 21.39479521 20.73714261 20.34092173 20.11933968 20.10424096
 19.40579055 19.31799418 19.17165788 19.09680817],0.0748497092580287,[10.84221939  2.08424637  2.08041645  2.07785365  2.07691659  2.07596331
  2.07783965  2.07887579  2.08079788  2.08516675],-0.004368870987546014
32988, [20.56361271 19.68067182 19.35813069 19.25690368 19.2265939  18.92058853
 18.81118985 18.80495136 18.75696964 18.70653798],0.0504316627074175,[10.78585722  2.08067996  2.07927917  2.07774111  2.07581018  2.07614781
  2.07667014  2.07729381  2.08007424  2.08369347],-0.003619228506016814
33208, [21.4174461  21.22639561 21.11223784 20.23987893 20.02057751 19.54910354
 19.43873653 19.4066454  19.33248968 19.33143042],0.0010592597565093342,[10.87027488  2.08651427  2.08483176  2.08253556  2.08055785  2.07928824
  2.08090193  2.08177835  2.0862867   2.08772628],-0.0014395799769744144
32720, [20.66184683 20.63965785 20.50900719 20.4503768  20.39591358 20.16981084
 19.97537429 19.86904854 19.61877053 19.52069036],0.09808017427243243,[10.82238881  2.08555452  2.08243989  2.08117808  2.08012063  2.08015337
  2.08154878  2.08281845  2.08554086  2.08932351],-0.003782647329493738
33056, [20.66178421 20.09593956 19.92721647 19.68128012 19.67299535 19.52056458
 19.39399403 19.32428025 19.22062968 19.15654728],0.06408240245768226,[10.87465076  2.10161599  2.09321826  2.09157514  2.08976139  2.08871788
  2.09241302  2.09438305  2.09521987  2.10089221],-0.0056723445151272145
32834, [20.66893081 20.38450689 19.97473449 19.70841294 19.39017911 19.306246
 19.11723113 19.0122967  18.7678226  18.67187879],0.09594381010559516,[10.84779658  2.10118372  2.09831698  2.09398411  2.09215455  2.09295372
  2.09372856  2.09601948  2.09794645  2.1001964 ],-0.002249951046943366
32862, [20.36544613 20.33709097 20.21892101 19.97915601 19.94943938 19.71528951
 19.679177   19.43412287 19.41278808 19.1016621 ],0.31112597656236574,[10.92961649  2.11192899  2.10935669  2.10761566  2.10574241  2.10593166
  2.10736918  2.10900924  2.11221215  2.11443268],-0.0022205275977436045
32790, [21.57045891 19.99722791 19.37533575 19.35853037 19.27199178 19.17782883
 18.92968481 18.890489   18.79371737 18.78141527],0.012302097563214431,[10.77529732  2.06587179  2.06340232  2.06122067  2.05945874  2.06041855
  2.06295473  2.06493019  2.06536817  2.07022107],-0.0048529054803401195
32974, [20.72592409 20.59825671 20.22131422 19.61285384 19.57383812 19.55369672
 19.28375348 19.1935351  19.18727914 19.06286626],0.12441287658944589,[10.78438574  2.07226003  2.07155625  2.06946264  2.06730876  2.06644328
  2.06652375  2.07096759  2.07286438  2.07614599],-0.0032816114588647416
33246, [20.40604897 20.33189537 20.19701988 19.92426278 19.72260143 19.21470725
 19.20895062 19.03639434 19.02617614 18.99250956],0.03366657534226292,[10.83519411  2.08398142  2.08378003  2.08076375  2.0794913   2.07897708
  2.0804404   2.08175241  2.08220669  2.08481406],-0.00260736896888325
32817, [19.74262801 19.54461003 19.47515272 19.30103705 19.29890742 18.94218846
 18.75262891 18.57768829 18.47891841 18.43129183],0.04762657951740934,[10.81655097  2.08437617  2.08033037  2.07842482  2.0744529   2.07763401
  2.07866765  2.07950626  2.08314402  2.08348997],-0.00034594387333264365
32972, [21.21057556 20.15424396 20.14267067 19.82404302 19.76357925 19.72996601
 19.72479012 19.46683136 19.316507   19.10907413],0.20743286329842547,[10.76725514  2.07715682  2.07201636  2.07037978  2.06904913  2.06870631
  2.07038339  2.07189829  2.07322004  2.07478024],-0.0015601931120845514
32830, [22.59793514 21.47933011 20.26660322 19.78725308 19.27741076 19.2000681
 18.99345813 18.97719793 18.92747752 18.88935967],0.03811784919877326,[10.68333127  2.04874137  2.04689729  2.04555058  2.04302642  2.04246867
  2.04562356  2.04732634  2.04916082  2.05281864],-0.0036578153448290074
32622, [21.27424754 20.61124769 20.14418411 20.09128494 20.00070553 19.73787147
 19.73287712 19.58236324 19.57272147 19.52832003],0.04440143816418285,[10.8238693   2.08844688  2.08751239  2.08402155  2.08247541  2.08245294
  2.08518675  2.08653955  2.08914507  2.09178908],-0.0026440109156253833
32921, [20.69976146 20.20474551 20.09643415 19.75981583 19.5181738  19.50567541
