
32926, [20.74119612 20.03872984 19.93724331 19.75355965 19.72032262 19.51963262
 19.4527385  19.42627312 19.06938398 18.99102069],0.07836329074861226,[10.75767147  2.08210591  2.07954258  2.07802152  2.07640736  2.07676649
  2.07870898  2.08103462  2.08397362  2.08682085],-0.0028472281254985354
32943, [20.16974192 19.67431778 19.29563826 19.28720589 19.1837596  19.12602767
 19.11464862 19.01987063 18.96949889 18.95489585],0.014603041179157117,[10.91712725  2.10704974  2.10459495  2.10066649  2.09966393  2.09943563
  2.10055404  2.1025302   2.10429396  2.1064554 ],-0.0021614339863886833
32811, [20.82198679 20.60635084 20.08090322 20.02536869 19.79299056 19.65964133
 19.58358031 19.27327063 19.19052791 19.18607482],0.004453091785777019,[10.74220779  2.07935597  2.07503201  2.07433352  2.07010496  2.06890894
  2.071777    2.07512708  2.07673476  2.07884587],-0.0021111165401555
32816, [21.07084811 20.14613988 19.44133096 19.35657251 19.2933047  19.29062808
 19.26620396 19.23860686 19.18415523 19.16288899],0.021266246315608583,[10.82063667  2.08946693  2.08804895  2.08559978  2.08510447  2.08565258
  2.08705343  2.08821012  2.0928134   2.09724973],-0.004436329144837714
32957, [20.47912938 20.35642029 19.72317894 19.64624369 19.33735919 19.27078384
 19.10306384 19.03117219 19.01648085 18.9521081 ],0.06437275383447272,[10.75523562  2.06988577  2.0681101   2.06600312  2.06356502  2.06106612
  2.06319327  2.06490758  2.06909414  2.0694354 ],-0.00034125756234315574
32810, [20.18840476 20.17676841 19.96653445 19.79179265 19.57902504 19.49028099
 19.41280064 19.2729531  19.16253742 19.13442063],0.02811679319457383,[10.81325565  2.08934471  2.08384835  2.08307247  2.07875796  2.07779005
  2.07920116  2.08100115  2.0830166   2.08557084],-0.00255423458327364
33146, [21.20232411 20.38351525 19.76390842 19.50657531 19.39573687 19.382173
 19.23633273 19.18869184 19.03125236 19.01136535],0.019887003897462563,[10.73472403  2.06638117  2.05959172  2.05933587  2.05755546  2.05675166
  2.05824161  2.06008264  2.0626621   2.06398015],-0.0013180457749344399
32641, [21.39117402 20.39478377 19.83339014 19.54631005 19.22515347 19.15413022
 19.11967786 19.06759385 18.73374152 18.65806299],0.07567853424791693,[10.6297933   2.0470175   2.04618667  2.04204895  2.04151547  2.04049627
  2.0415678   2.0434282   2.04607802  2.04714538],-0.001067360749344104
32681, [21.01128219 20.66188619 20.57548114 20.14675798 19.92629722 19.87212298
 19.546004   19.45602832 19.43193199 19.13122991],0.30070208490132444,[10.78263526  2.07209772  2.0697551   2.0674819   2.06721536  2.06551874
  2.06741657  2.06845043  2.07033516  2.07298395],-0.0026487853825143404
33148, [21.25968962 21.2543589  20.86312945 20.34009489 19.5440977  19.35038469
 19.30249656 19.26041318 19.09229633 19.04667408],0.045622252716380984,[10.86009456  2.08862675  2.0860495   2.08587449  2.08404659  2.08241666
  2.0843726   2.08711333  2.08878083  2.09153244],-0.002751607314440907
32656, [21.2910065  20.12971303 20.11391162 19.74583472 19.10112951 18.92369596
 18.91484074 18.78615823 18.74060945 18.67854769],0.062061754579360695,[10.64305234  2.05560142  2.05241195  2.05033508  2.04883306  2.04651742
  2.04600468  2.04805319  2.04955819  2.05531148],-0.00575329637336619
33244, [20.75596097 20.70746215 20.37729373 20.20847373 20.02669607 19.84289677
 19.59602232 19.42985266 19.39132103 19.22099118],0.17032984642300875,[11.01245674  2.12058771  2.11737243  2.11577966  2.11505927  2.1156998
  2.11844044  2.11949205  2.12120141  2.12599572],-0.0047943086620856334
32901, [20.90411034 20.6863612  20.370864   20.31615916 20.21180147 19.66363687
 19.35372525 19.16609502 19.15739359 18.98153564],0.17585795353303624,[10.88930203  2.11271011  2.10850546  2.10643679  2.10221423  2.10405851
  2.10549978  2.10783891  2.10987546  2.11286727],-0.0029918125398160633
32970, [20.63151263 19.99454512 19.68065721 19.50216527 19.12676873 19.07734516
 19.00039458 18.93602623 18.89275542 18.83656352],0.05619189737417685,[10.87287421  2.10309049  2.09904925  2.09726851  2.09534181  2.09412826
  2.09293087  2.09630349  2.09751541  2.10585688],-0.008341471651456267
32949, [21.7744127  21.76122608 21.08668687 20.86366353 20.79849413 20.29567753
 20.22628905 19.91071831 19.39812505 19.22291113],0.17521392016980997,[10.89718228  2.09982478  2.0984141   2.09648787  2.09484023  2.09358486
  2.09463884  2.0990012   2.09909283  2.10129423],-0.002201393114246386
33228, [20.4915963  20.15254908 20.03062738 19.78413212 19.64077788 19.40857468
 19.3616338  19.2354504  19.23438606 19.20228155],0.03210451028264316,[10.87051802  2.09707516  2.09494145  2.0943709   2.09186601  2.09158002
  2.09249029  2.09303674  2.09383356  2.09629223],-0.0024586692540853328
32944, [20.99890035 20.3273203  20.03630496 19.86069092 19.7899239  19.54229768
 19.48786512 19.3622435  19.17765392 19.16039388],0.017260043256410285,[10.93377202  2.1091945   2.10389907  2.10193974  2.0992208   2.09964506
  2.10215088  2.10400326  2.10765553  2.11009041],-0.0024348851524016446
33001, [21.61561386 21.58975526 20.47932292 20.13068657 20.00742695 19.42596943
 19.40615168 19.3391675  19.18229832 19.17739599],0.004902330335969651,[10.85626065  2.09270707  2.09053134  2.08520999  2.08359061  2.08077261
  2.08517609  2.08725832  2.08901034  2.09083049],-0.0018201494014267183
33057, [20.24453605 20.18600617 19.84680657 19.7909157  19.49011779 19.42837833
 19.36457965 19.27966689 19.19903157 19.16112194],0.037909630673347294,[10.92174768  2.11066132  2.1087739   2.10740061  2.10521461  2.10590641
  2.10762382  2.10893896  2.11283271  2.11317834],-0.0003456266753962822
33317, [19.90578234 19.5451282  19.53498863 19.38984814 19.30240907 19.28325167
 19.27705598 19.01512987 18.93828553 18.70773725],0.23054827640687847,[10.66142014  2.05154183  2.04994867  2.04778974  2.04509845  2.04415288
  2.0466909   2.04774935  2.05101366  2.05315188],-0.0021382234123148436
32946, [21.10724668 20.59762997 19.89659659 19.7114247  19.6357283  19.5448583
 19.52500066 19.41881096 19.21641431 19.09857782],0.11783649014368436,[11.02534046  2.12298824  2.12132139  2.11813373  2.11746389  2.11576651
  2.11926377  2.12172583  2.1233868   2.12495491],-0.001568119231304621
32922, [20.15517068 19.64532288 19.58541918 19.23800658 19.08927163 18.92635794
 18.91600777 18.80408531 18.71076717 18.65185746],0.058909708083344725,[10.8388435   2.08612831  2.0844523   2.08400965  2.08205274  2.08125157
  2.08195708  2.08459477  2.08815424  2.08984171],-0.0016874664685717633
32939, [19.35530086 19.27237614 19.22707677 19.0917754  18.93011975 18.91923454
 18.91425987 18.88329192 18.87611615 18.75454433],0.12157181652241178,[10.72407739  2.05646792  2.05239914  2.05146855  2.04982849  2.05031593
  2.05127332  2.05314544  2.05692215  2.05734362],-0.0004214685272203589
32910, [21.13345035 20.60829842 20.50962159 19.76322458 19.67067507 19.44190507
 19.42477489 19.3566122  19.33746124 19.25224413],0.08521711095615814,[10.83415424  2.10244214  2.09931615  2.09818465  2.09549093  2.09633662
  2.09851795  2.10009134  2.10183886  2.10450103],-0.00266216638972816
32833, [20.60726533 19.82912418 19.77361855 19.40086253 19.37774008 19.33592651
 19.1198413  19.05655866 19.03410974 19.03085172],0.003258013161275386,[10.77776853  2.07775517  2.0760629   2.07512009  2.07332882  2.07068401
  2.07237059  2.0743429   2.07479124  2.07656107],-0.0017698301830275653
32990, [20.3414841  20.33008574 20.06185562 19.94311689 19.85885476 19.80406291
 19.7680854  19.68023604 19.64808434 19.57815837],0.06992597066599515,[10.87718625  2.0951873   2.09077167  2.08956715  2.08790636  2.08578868
  2.08828158  2.09085985  2.09459317  2.09617845],-0.0015852717137812
33332, [21.00419773 20.6047508  20.37690133 20.30967341 19.56607467 19.54435197
 19.4915217  19.22567741 18.85277769 18.7176414 ],0.13513629674408278,[10.80492023  2.06544583  2.06291085  2.05997736  2.05865131  2.05760728
  2.05872697  2.06279485  2.06461703  2.06633113],-0.001714100065581814
32811, [20.75948962 20.04143637 20.02325372 19.95813187 19.86754818 19.86300906
 19.65420116 19.51634003 19.43574594 19.38392329],0.051822647361685625,[10.85453409  2.0881743   2.08604087  2.08412279  2.08309622  2.08423128
  2.08439525  2.08667905  2.08821107  2.09108082],-0.002869749407786948
32721, [20.3331992  20.16024043 20.13072397 19.93590292 19.89625334 19.83644507
 19.67791042 19.63296359 19.22501554 19.18511207],0.03990347548112538,[10.70106309  2.06586655  2.06417286  2.06096357  2.05963928  2.05826072
  2.06044277  2.06109164  2.06280564  2.06759632],-0.004790685127980865
32543, [20.17815562 19.80198184 19.50556472 19.38649811 19.31821955 19.23762004
 19.19746917 19.07517259 18.95480941 18.89515699],0.0596524160117653,[10.76664071  2.08241511  2.07659816  2.07280801  2.0721217   2.07320766
  2.07364084  2.07616312  2.07752622  2.08042525],-0.0028990281925262984
32899, [20.61822088 20.35798643 20.23790989 20.02869246 19.6104818  19.54461716
 19.07849135 18.91202736 18.67466126 18.67054704],0.004114221120207873,[10.7650634   2.07704187  2.07412291  2.07308202  2.07191547  2.07333014
  2.07420364  2.0764299   2.07819118  2.08086465],-0.0026734679308111353
33138, [20.60972379 20.57356291 20.52049868 20.20094907 19.10938115 19.08262701
 18.87120521 18.77811811 18.73496599 18.64568674],0.08927925034493711,[10.74950126  2.07117864  2.06596506  2.0632358   2.06139769  2.06143646
  2.06259985  2.06528325  2.06715552  2.06876966],-0.0016141376297249543
33126, [22.0919918  20.45752899 20.36751766 19.94127429 19.21613035 19.070286
 19.0612633  18.79348977 18.72730948 18.69696929],0.030340184547711146,[10.63655803  2.04233209  2.03851994  2.03561814  2.03488712  2.03409646
  2.03504258  2.03613524  2.03869017  2.04054503],-0.0018548618886318202
32682, [21.29692764 19.71814463 19.29371284 19.19089172 19.00082407 18.88545413
 18.73823859 18.69330979 18.68923175 18.60569809],0.08353365822718217,[10.64664684  2.05320678  2.050315    2.04975745  2.04604032  2.0474045
  2.04867785  2.05120943  2.05351918  2.05680102],-0.0032818450294520574
32881, [23.27206543 21.41216743 20.89321594 20.31803373 20.29970543 19.70703006
 19.62327338 19.60864875 19.56903103 19.35672859],0.2123024456606224,[10.66951873  2.05251511  2.05064102  2.04626505  2.04574369  2.04421701
  2.04516984  2.04720495  2.04972369  2.04999943],-0.00027574869831825666
32890, [21.75217265 21.01052258 20.84176776 20.23315918 20.17342184 20.05726639
 19.66773894 19.35098315 19.28503077 19.20909804],0.07593272917265992,[10.7567736   2.06634601  2.06365683  2.0596619   2.05785948  2.05965342
  2.06183286  2.06426105  2.06634376  2.0695917 ],-0.003247945902456806
32778, [21.6124535  20.48598473 20.2731367  19.58136934 19.39643498 19.26352387
 19.18040349 19.16354276 19.11499766 18.96594084],0.14905681830801853,[10.70348286  2.06342142  2.06234613  2.06097777  2.05960597  2.0566324
  2.05877071  2.0596589   2.06166041  2.06582145],-0.0041610317977975875
33061, [21.61318037 21.33906927 20.85787136 20.40640542 20.17414923 20.09217662
 19.69055651 19.31430362 19.2471878  18.95334661],0.29384118506254353,[10.91850274  2.11016109  2.1080153   2.1057089   2.10383852  2.10127249
  2.10078331  2.10298242  2.10591852  2.10755282],-0.0016342985915951402
33098, [20.4082078  20.35732614 20.00653961 19.7708474  19.61074253 19.47412552
 19.39552527 19.27264574 19.25690521 19.22165188],0.035253328561928754,[10.97862835  2.10798348  2.10637243  2.10364135  2.10305052  2.10250806
  2.10282359  2.10827713  2.11122204  2.11379616],-0.00257412165697124
33209, [20.96340558 20.94395424 20.46276037 20.0448652  20.04178305 19.93818396
 19.86435243 19.76567635 19.34845718 18.90780411],0.440653070089958,[11.20196941  2.15837842  2.15809506  2.15541069  2.1531672   2.15214677
  2.15422553  2.15465548  2.15745383  2.15883848],-0.0013846487428148535
33006, [20.76217691 20.51720126 19.50932306 19.04512945 18.91586684 18.88731869
 18.70841426 18.53947082 18.35878714 18.34452285],0.014264285689428391,[10.72836837  2.06966488  2.06654978  2.06530241  2.06411544  2.06379629
  2.06485244  2.06775336  2.07168518  2.07506467],-0.0033794908564854786
32694, [21.46466908 20.77524777 20.18021201 19.95294295 19.75443528 19.61578303
 19.55901474 19.35253396 19.32332015 19.09628611],0.22703404112780134,[10.85910995  2.09808777  2.09179671  2.0913822   2.08962182  2.08782527
  2.08991599  2.09197565  2.09302229  2.09425185],-0.0012295631405816465
32806, [21.15698237 20.68945778 20.59146935 20.17902422 20.13905489 20.10848003
 19.85809507 19.64403495 19.58280679 19.45461936],0.12818742775184333,[10.81001603  2.08019628  2.07624584  2.07480482  2.07259158  2.07147101
  2.07322942  2.07739433  2.07921434  2.08002919],-0.0008148564230547883
32985, [20.90283711 20.42898176 20.00284392 19.94004164 19.87043485 19.79419017
 19.70066348 19.64143015 19.19383762 19.13471574],0.05912187919550149,[10.81291234  2.08680436  2.08192776  2.08083107  2.0784857   2.07796348
  2.07739477  2.0819098   2.08463196  2.08964349],-0.005011522598995732
33010, [21.16073643 20.39143566 20.30812844 20.05422281 19.84407855 19.45201649
 19.37126247 19.36412132 19.36263375 19.35558417],0.007049579273939344,[10.88751579  2.10334156  2.10112302  2.10041426  2.10017148  2.09666652
  2.09846701  2.09995045  2.10380605  2.10653202],-0.0027259702069120095
